Organization Name,Organization Name URL,Industries,Description,Number of Employees,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Last Funding Date,Headquarters Location,Full Description
OurCrowd,https://www.crunchbase.com/organization/ourcrowd,"Angel Investment, Crowdfunding, Funding Platform, Venture Capital","OurCrowd breaks barriers to startup investing, providing global, VC-level dealflow, due diligence and terms to accredited investors.",101-250,112500000,USD,112500000,2016-09-21,"Jerusalem, Yerushalayim, Israel","OurCrowd is a global crowd investing platform for accredited investors. It sources, deals, performs due diligence, and opens investments to its members, leading every investment with its own money. It takes an active stake in the companies it finances, through board seats and a mentorship program that pairs startups with OurCrowd contacts from relevant industries. As of Mid 2020, OurCrowd and its investor community have invested more than $1B for ~200 companies and funds."
Drift,https://www.crunchbase.com/organization/drift,"Apps, Enterprise Software, Internet, Marketing Automation, Sales Automation","Drift provides a buying experience for potential customers, generate more qualified leads, and dramatically accelerate the sales cycle.",251-500,107000000,USD,107000000,2018-04-17,"Boston, Massachusetts, United States","Drift provides a buying experience for potential customers, generate more qualified leads, and dramatically accelerate the sales cycle. Drift is a conversation-driven marketing and sales platform. With its quickly evolving set of tools and playbooks, Drift unlocks the insights buried in conversations to accelerate business success. Customers use Drift to provide a modern buying experience for potential customers, generate more qualified leads, and dramatically accelerate the sales cycle."
Siemens,https://www.crunchbase.com/organization/siemens,"Consumer Electronics, Electrical Distribution, Electronics, Energy, Energy Efficiency, Innovation Management, Manufacturing, Medical, Software","Siemens is a multinational engineering and electronics company involved in the fields of industry, energy, transportation and healthcare.",10001+,5178048062,USD,5178048062,2018-03-15,"Munich, Bayern, Germany","Siemens AG, an electronics and electrical engineering company, operates in the industry, energy, and healthcare sectors worldwide. The company, formerly known as Siemens & Halske, was founded in 1847 and is headquartered in Munich, Germany. Siemens' principal activities are in the fields of industry, energy, transportation and healthcare. It is organized into five main divisions: Industry, Energy, Healthcare, Infrastructure & Cities, and Siemens Financial Services (SFS). Siemens and its subsidiaries employ approximately 360,000 people across nearly 190 countries and reported global revenue of approximately 73.5 billion euros for the year of 2011. In the industry sector, the company's portfolio ranges from industry automation and drives products and services to building, lighting, and mobility solutions and services, as well as includes system integration and solutions for plant business. It offers automation and drives, industrial solutions and services, transportation systems, Siemens building technologies, and OSRAM lighting solutions.  In the energy sector, the company provides various solutions for the generation, transmission, and distribution of power, as well as for the extraction, conversion, and transport of oil and gas in the oil and gas industry. Siemens Energy Service delivers service solutions for gas turbines, steam turbines, generators or wind turbines to increase efficiency, reliability and availability throughout the entire lifecycle. From modernizations and upgrades, remote monitoring, lifetime extensions, and condition monitoring to logistical and turnkey service for onshore and offshore wind turbines, Siemens energy services work to achieve maximum success and efficiency. In the healthcare sector, Siemens develops, manufactures, and markets diagnostic and therapeutic systems, devices, and consumables, as well as offers IT systems for clinical and administrative purposes.  Other services include technical maintenance, professional, and consulting services. Siemens AG offers IT solutions and services, primarily information and communications systems. Further, the company provides financial products and services comprising commercial finance, equity and project finance, treasury and investment management, and project and export finance. Siemens AG offers insurance solutions, such as claims management, as well as acts as a broker of company-financed insurances for employees on business trips and foreign assignments.  The company has equity investments in Nokia Siemens Networks B.V., a telecommunications infrastructure company; and BSH Bosch und Siemens Hausgerate GmbH, a household appliance producer."
PopCom,https://www.crunchbase.com/organization/solutions-vending-international-inc,"Retail, Software, Vending and Concessions",Popcom provides touchless vending machines that track transactions to create live sales and product reports.,1-10,4459000,USD,4459000,2020-07-05,"Columbus, Ohio, United States","Popcom provides touchless vending machines that track transactions to create live sales and product reports. Their machines are distributed to retail sectors that are regulated like the pharmaceutical, alcohol, tobacco and cannabis sectors."
Ant Group,https://www.crunchbase.com/organization/ant-financial,"Banking, E-Commerce, Financial Services, FinTech, Internet, Payments, Wealth Management",Ant Financial is an online payment services provider that enables individuals and businesses to execute payments online in a secure manner.,5001-10000,22000000000,USD,22000000000,2018-06-08,"Hangzhou, Zhejiang, China","Ant Financial Services Group is an online payment services provider. Its platform, [Alipay](https://www.crunchbase.com/organization/alipay-a757), is the world's largest mobile and online payments platform. Founded by the Alibaba group, it allows individuals and businesses to execute payments online in a secure manner. Alipay's users are primarily buyers and sellers engaging in e-commerce transactions. With a registered user base of approximately 43.5 million as of June 2007, Alipay is an accepted online payment method for many online retail websites and service providers in China. Based on its huge customer based, has developed a complete online wallet which offers many services associated with payments while partnering with taxi-hailing services, cinema-theater booking services and so on. Alipay has partnered with some leading Chinese banks including Bank of China, China Construction Bank, Agricultural Bank of China, and the Industrial and Commercial Bank of China; it also has a valuable partnership with Visa. [PayPal](http://www.crunchbase.com/organization/paypal) remains its primary competitor."
Twitch,https://www.crunchbase.com/organization/twitch,"Social Media, Video, Video Games, Video Streaming","Twitch is social video platform for gamers where more than 100 million gather every month to broadcast, watch and talk about video games.",251-500,35000000,USD,35000000,2013-09-30,"San Francisco, California, United States","Twitch is social video for gamers. It is a video platform and community for gamers where more than 100 million gather every month to broadcast, watch and talk about video games. Twitch’s video platform is the backbone of both live and on-demand distribution for the entire video game ecosystem. This includes game developers, publishers, media outlets, events, user generated content, and the entire esports scene. In February 2014, Wall Street Journal ranked Twitch as the 4th largest website in terms of peak internet traffic in the U.S. fortifying the brand as an entertainment industry leader and the epicenter of social video for gamers."
Instagram,https://www.crunchbase.com/organization/instagram,"Mobile, Photo Sharing, Photography, Social Media","Instagram is a free photo sharing application that enables its users to take photos, apply filters, and share them on social networks.",251-500,57500000,USD,57500000,2012-04-05,"Menlo Park, California, United States","Instagram is a free photo sharing application that enables its users to take photos, apply filters, and share them on social networks such as Facebook, Twitter, Foursquare, Tumblr, Flickr, and Posterous. It allows its users to capture and customize their photos and videos with several custom-built filter effects.   Developed by Kevin Systrom and Mike Krieger, Instagram is compatible with all iOS and Android devices. It is currently used by over 200 million users worldwide. Instagram was founded in 2010 in San Francisco, California. It was acquired by Facebook in April 2012."
JD Digits,https://www.crunchbase.com/organization/jd-finance,"B2C, Finance, FinTech, Internet, Retail",JD Digits (formerly JD Finance) works to connect financial and physical industries with digital technology.,1001-5000,33950000000,CNY,5033801313,2018-07-11,"Beijing, Beijing, China","In November 2018, JD Finance was upgraded to JD Digital Technology, which consists of JD Finance, JD iCity, JD Nongmu, JD MO Media, and JD Shaodongjia.   The business purpose of JD Digital Technology is to connect financial and physical industries with digital technology, help the industry to improve the level of Internet, digitization and intelligence, promote the development of the real economy and create social value.   With the core technologies of data technology, AI and IoT as the core, JD Digital Technology has completed the comprehensive layout in the fields of digital finance, digital city, digital agriculture, digital marketing, digital campus, etc. In the future, JD Digital Technology will enter more real estate industries while deepening its existing business areas. Prior to rebranding, JD Finance was the financial technology arm of JD.com. It was established in 2013 to give individuals and businesses quick, easy and convenient access to the financial services they need. Leveraging JD.com ’s proprietary data resources, e-commerce expertise and industry-leading risk control systems, JD Finance offered sophisticated financial solutions in areas including financing loans, asset management, payment solutions and crowdfunding. With the JD Zhongchuang ecosystem, a holistic financial and market acceleration ecosystem, JD Finance connected early-stage enterprises with the financing and business development services they needed to grow. JD Finance had established seven major business lines: supply chain finance, consumer finance, crowdfunding, asset management, payment solutions, insurance and securities. It built up China’s leading financial technology ecosystem for enterprises and consumers and launched a range of innovative products, including Jingbaobei, Baitiao, JD Wallet, JD Finance APP, Xiaojinku, JD Microcredit and Xiaobailicai. Based on its core principle of creating long-term social value combined with its corporate values, including dedication, simplicity, perfection, synergy, innovation and user experience, JD Finance extended robust risk control capabilities and established a user-friendly customer account set up and maintenance system. By connecting financial institutions, including banks, securities firms, insurance providers, as well as JD Zhongchuang, JD Finance built a connected platform that integrates resources, reduces business costs and improves the efficiency of the industry as a whole."
UiPath,https://www.crunchbase.com/organization/uipath,"Artificial Intelligence, Data Center Automation, Enterprise Software, Information Technology, Machine Learning, Software",UiPath designs and develops robotic process automation and artificial intelligence software.,1001-5000,1241000000,USD,1241000000,2020-07-03,"New York, New York, United States","UiPath designs and develops robotic process automation software. The UiPath Enterprise RPA platform offers an easy-to-use automation design tool and supports on-premises and automated cloud deployment. The platform supports both attended and unattended robots is known for high scale, secure, resilient operations."
Xiaomi,https://www.crunchbase.com/organization/xiaomi,"Consumer Electronics, Internet, Mobile",Xiaomi is an electronics and software company that focuses on mobile devices and technology.,10001+,3452800000,USD,3452800000,2018-04-14,"Beijing, Beijing, China","Xiaomi Inc. manufactures and distributes mobile phones and consumer electronics. The company also develops mobile applications. Xiaomi targets the lower-middle market and has gained a loyal fan base by incorporating user feedback into the design of its latest sets and Android skins. It offers internet value-added products including TV boxes, backpacks, phone screen protectors, earphones, and more. Its products include Redmi, an Android smartphone; MIUI ROM, a customizable ROM; MiTalk, a messaging application; Mi TV, a 3D television; MiBox, a set-top box; MIUI, an operating system; MiWiFi, a network router; MiPower Bank, an external battery; and more. Xiaomi Inc. was founded in April 2010 and is based in Beijing, China."
